subj_idx,date,trialnum,stim,response,rt
172,2017-11-22,35,1,1,3.31
172,2017-11-22,36,2,0,8.48
172,2017-11-22,37,2,1,4.42
172,2017-11-22,38,2,1,7.31
172,2017-11-22,39,1,1,12.2
172,2017-11-22,41,1,0,76.77
172,2017-11-22,42,2,1,55.93
172,2017-11-22,43,2,1,13.86
172,2017-11-22,44,2,1,3.8
172,2017-11-22,47,1,1,31.37
172,2017-11-22,48,1,0,106.86
172,2017-11-23,1,1,0,8.06
172,2017-11-23,2,2,1,28.22
172,2017-11-23,3,2,1,7.41
172,2017-11-23,4,1,0,38.05
172,2017-11-23,6,2,1,59.75
172,2017-11-23,7,2,1,6.33
172,2017-11-23,8,1,0,69.53
172,2017-11-23,10,2,1,26.57
172,2017-11-23,11,1,0,6.24
172,2017-11-23,12,2,1,29.86
172,2017-11-23,14,2,1,28.52
172,2017-11-23,15,2,1,8.27
172,2017-11-23,17,2,1,30.1
172,2017-11-23,18,2,1,9.22
172,2017-11-23,19,1,1,2.72
172,2017-11-23,21,1,0,183.74
172,2017-11-23,22,1,1,62.18
172,2017-11-23,23,1,1,0.29
172,2017-11-23,26,2,1,59.01
172,2017-11-23,27,1,1,1.11
172,2017-11-23,28,2,1,4.16
172,2017-11-23,29,1,0,141.95
172,2017-11-23,30,1,1,31.61
172,2017-11-23,31,2,1,8.59
172,2017-11-23,32,2,1,8.41
172,2017-11-23,33,1,1,2.74
172,2017-11-23,34,2,1,8.38
172,2017-11-23,35,2,1,1.7
172,2017-11-23,36,2,1,14.29
172,2017-11-23,37,2,1,6.65
172,2017-11-23,38,1,1,7.92
172,2017-11-23,40,1,1,27.79
172,2017-11-23,41,2,1,4.12
172,2017-11-23,42,2,1,4.11
172,2017-11-23,43,2,1,6.09
172,2017-11-23,45,1,1,31.91
172,2017-11-23,47,2,1,27.56
172,2017-11-23,48,1,0,342.26
172,2017-11-23,51,2,1,32.95
172,2017-11-24,1,2,1,11.07
172,2017-11-24,2,2,0,4.32
172,2017-11-24,3,2,1,6.19
172,2017-11-24,4,1,1,11.12
172,2017-11-24,5,1,1,13.23
172,2017-11-24,6,2,1,5.77
172,2017-11-24,7,1,0,13.63
172,2017-11-24,8,2,1,9.24
172,2017-11-24,9,2,1,2.41
172,2017-11-24,10,2,1,4.13
172,2017-11-24,11,2,0,4.15
172,2017-11-24,12,2,1,5.25
172,2017-11-24,13,1,1,12.79
172,2017-11-24,14,2,1,5.84
172,2017-11-24,15,1,1,7.03
172,2017-11-24,17,1,1,30.08
172,2017-11-24,18,2,0,13.57
172,2017-11-24,19,2,1,12.95
172,2017-11-24,20,1,1,2.74
172,2017-11-24,21,1,0,7.43
172,2017-11-24,22,2,1,1.16
172,2017-11-24,23,1,1,1.15
172,2017-11-24,24,1,1,12.4
172,2017-11-24,26,1,1,28.74
172,2017-11-24,27,2,1,5.98
172,2017-11-24,28,2,0,5.59
172,2017-11-24,29,1,1,5.95
172,2017-11-24,30,2,1,7.72
172,2017-11-24,31,1,1,1.44
172,2017-11-24,32,1,1,1.4
172,2017-11-24,33,2,1,9.5
172,2017-11-24,34,2,1,5.09
172,2017-11-24,35,1,1,1.58
172,2017-11-24,36,2,0,11.9
172,2017-11-24,37,2,1,1.4
172,2017-11-24,38,2,1,9.76
172,2017-11-24,39,2,0,9.33
172,2017-11-24,40,1,1,6.05
172,2017-11-24,41,2,1,0.15
172,2017-11-24,42,1,1,4.74
172,2017-11-24,43,1,1,7.91
172,2017-11-24,44,2,1,7.16
172,2017-11-24,45,1,1,8.28
172,2017-11-24,47,1,1,33.19
172,2017-11-24,48,1,1,4.43
172,2017-11-24,51,2,1,33.48
172,2017-11-25,1,2,1,6.95
172,2017-11-25,2,2,0,8.82
172,2017-11-25,3,1,1,4.62
172,2017-11-25,4,2,0,6.32
172,2017-11-25,5,2,1,0.2
172,2017-11-25,6,2,1,4.83
172,2017-11-25,7,1,1,4.02
172,2017-11-25,8,2,0,8.19
172,2017-11-25,9,1,1,6.27
172,2017-11-25,10,2,1,3.27
172,2017-11-25,11,2,0,33.51
172,2017-11-25,12,1,1,29.47
172,2017-11-25,13,2,1,3.14
172,2017-11-25,14,1,1,6.13
172,2017-11-25,15,2,0,10.73
172,2017-11-25,16,1,1,13.35
172,2017-11-25,17,1,0,11.32
172,2017-11-25,18,2,1,5.13
172,2017-11-25,19,1,1,2.33
172,2017-11-25,20,2,0,6.9
172,2017-11-25,21,2,1,1.16
172,2017-11-25,22,2,1,2.02
172,2017-11-25,23,1,0,4.18
172,2017-11-25,24,2,1,6.83
172,2017-11-25,25,2,0,8.98
172,2017-11-25,26,1,1,2.79
172,2017-11-25,28,2,1,34.62
172,2017-11-25,29,2,1,2.41
172,2017-11-25,30,1,1,3.62
172,2017-11-25,31,2,0,8.47
172,2017-11-25,32,1,1,3.29
172,2017-11-25,34,1,0,32.8
172,2017-11-25,35,2,1,6.06
172,2017-11-25,36,1,1,2.95
172,2017-11-25,37,2,0,41.85
172,2017-11-25,38,1,1,27.35
172,2017-11-25,39,2,1,6.53
172,2017-11-25,40,1,1,2.53
172,2017-11-25,41,1,0,51.01
172,2017-11-25,42,2,1,35.56
172,2017-11-25,43,2,1,4.79
172,2017-11-25,44,2,1,2.68
172,2017-11-25,45,1,1,0.2
172,2017-11-25,48,1,1,1.97
172,2017-11-25,49,1,1,0.63
172,2017-11-26,1,2,1,6.43
172,2017-11-26,2,2,0,4.41
172,2017-11-26,3,1,1,8.29
172,2017-11-26,4,2,1,1.64
172,2017-11-26,5,1,0,6.02
172,2017-11-26,6,2,1,1.72
172,2017-11-26,7,2,1,3.36
172,2017-11-26,8,2,0,4.31
172,2017-11-26,9,1,1,1.51
172,2017-11-26,10,1,0,23.37
172,2017-11-26,11,1,1,35.04
172,2017-11-26,12,1,1,0.34
172,2017-11-26,13,2,1,5.78
172,2017-11-26,14,1,1,3.66
172,2017-11-26,15,2,0,4.85
172,2017-11-26,16,2,1,4.01
172,2017-11-26,17,2,1,2.41
172,2017-11-26,18,2,1,5.48
172,2017-11-26,19,1,0,3.05
172,2017-11-26,20,1,1,1.56
172,2017-11-26,21,1,0,4
172,2017-11-26,23,1,1,26.87
172,2017-11-26,24,1,1,3.86
172,2017-11-26,25,2,0,7.68
172,2017-11-26,26,1,1,4.22
172,2017-11-26,27,1,1,13.16
172,2017-11-26,28,2,1,7.04
172,2017-11-26,29,2,1,2.67
172,2017-11-26,30,2,1,8.44
172,2017-11-26,31,1,0,84.53
172,2017-11-26,32,1,1,35.93
172,2017-11-26,33,1,0,8.44
172,2017-11-26,34,2,1,3.48
172,2017-11-26,35,2,0,0.45
172,2017-11-26,36,2,1,2.18
172,2017-11-26,37,2,1,2.61
172,2017-11-26,38,1,1,11.99
172,2017-11-26,39,2,1,8.54
172,2017-11-26,40,1,1,0.48
172,2017-11-26,41,2,0,10.34
172,2017-11-26,42,1,1,9.3
172,2017-11-26,43,1,1,3.09
172,2017-11-26,44,2,1,3.58
172,2017-11-26,45,1,0,12.51
172,2017-11-26,46,1,1,0.58
172,2017-11-26,47,1,0,5.62
172,2017-11-26,48,2,1,27.12
172,2017-11-26,49,2,1,0.88
172,2017-11-26,50,2,0,5.77
172,2017-11-27,2,2,1,23.29
172,2017-11-27,3,2,1,0.92
172,2017-11-27,4,2,1,3.24
172,2017-11-27,6,2,1,30.38
172,2017-11-27,8,1,0,129.99
172,2017-11-27,9,1,0,7.17
172,2017-11-27,10,2,1,66.16
172,2017-11-27,11,2,1,7.11
172,2017-11-27,12,1,0,41.82
172,2017-11-27,13,1,0,3.76
172,2017-11-27,14,2,1,43.34
172,2017-11-27,15,2,1,2.68
172,2017-11-27,16,1,0,28.57
172,2017-11-27,17,2,1,21.26
172,2017-11-27,18,2,1,5.12
172,2017-11-27,19,2,1,4.43
172,2017-11-27,20,2,1,1.33
172,2017-11-27,21,2,1,3.03
172,2017-11-27,22,2,1,3.13
172,2017-11-27,23,2,1,7.98
172,2017-11-27,24,2,1,2.42
172,2017-11-27,25,1,1,8.04
172,2017-11-27,27,1,0,157.74
172,2017-11-27,28,1,1,45.08
172,2017-11-27,29,2,1,5.06
172,2017-11-27,30,2,1,2.3
172,2017-11-27,32,2,1,25.34
172,2017-11-27,33,1,0,6.75
172,2017-11-27,34,2,1,1.67
172,2017-11-27,35,2,1,3.17
172,2017-11-27,36,2,1,3.63
172,2017-11-27,37,1,1,3.79
